id,title,servings,prep_minutes,cook_minutes,difficulty,meal_type,primary_equipment,selection_notes,source_name,source_url,source_license,review_status
1,20-Minute Beef Stroganoff,4,5,15,easy,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:20-Minute_Beef_Stroganoff,CC BY-SA 4.0,needs_quantity_standardization
13,Spaghetti and Meatballs,8,15,45,easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Spaghetti_and_Meatballs,CC BY-SA 4.0,needs_quantity_standardization
14,Tagliatelle Bake,4,15,45,easy,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Tagliatelle_Bake,CC BY-SA 4.0,needs_quantity_standardization
15,Pineapple Teriyaki,2,7,23,easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Pineapple_Teriyaki,CC BY-SA 4.0,needs_quantity_standardization
16,Curry Chicken I,4,30,45,easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Curry_Chicken_I,CC BY-SA 4.0,needs_quantity_standardization
17,Tofu in Spiced Coconut Sauce,6,15,45,medium,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Tofu_in_Spiced_Coconut_Sauce,CC BY-SA 4.0,needs_quantity_standardization
18,Tom Kha Kai,5,10,20,easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Tom_Kha_Kai,CC BY-SA 4.0,needs_quantity_standardization
19,BBQ Pork Fried Rice,4,15,45,medium,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:BBQ_Pork_Fried_Rice,CC BY-SA 4.0,needs_quantity_standardization
20,Traditional Lasagne,8,15,75,medium,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Traditional_Lasagne,CC BY-SA 4.0,needs_quantity_standardization
21,Chickpea Stew,6,15,30,easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Chickpea_Stew,CC BY-SA 4.0,needs_quantity_standardization
22,Chicken and Black-eyed Pea Stew,6,15,30,easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Chicken_and_Black-eyed_Pea_Stew,CC BY-SA 4.0,needs_quantity_standardization
23,Beef and Barley Stew,12,15,105,easy,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Beef_and_Barley_Stew,CC BY-SA 4.0,needs_quantity_standardization
24,Maffé (West African Peanut Stew) I,4,15,30,medium,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Maff%C3%A9_(West_African_Peanut_Stew)_I,CC BY-SA 4.0,needs_quantity_standardization
25,Entula (Ugandan Eggplant Stew),4,15,30,easy,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Entula_(Ugandan_Eggplant_Stew),CC BY-SA 4.0,needs_quantity_standardization
26,Couscous bil Khodra (Libyan Vegetable Couscous),4,15,30,medium,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Couscous_bil_Khodra_(Libyan_Vegetable_Couscous),CC BY-SA 4.0,needs_quantity_standardization
27,Pad Thai,2,5,15,medium,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Pad_Thai,CC BY-SA 4.0,needs_quantity_standardization
28,Tofu Tamale Pie,1,10,20,easy,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Tofu_Tamale_Pie,CC BY-SA 4.0,needs_quantity_standardization
29,Chicken Quesadilla,4,15,45,medium,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Chicken_Quesadilla,CC BY-SA 4.0,needs_quantity_standardization
30,Tibs (Ethiopian Sauteed Meat and Vegetables),4,15,30,medium,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Tibs_(Ethiopian_Sauteed_Meat_and_Vegetables),CC BY-SA 4.0,needs_quantity_standardization
31,Hot and Sour Soup,4,5,15,easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Hot_and_Sour_Soup,CC BY-SA 4.0,needs_quantity_standardization
32,Yetakelt Wot (Ethiopian Spiced Vegetable Stew),4,15,30,medium,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Yetakelt_Wot_(Ethiopian_Spiced_Vegetable_Stew),CC BY-SA 4.0,needs_quantity_standardization
33,Spaghetti Pie,8,15,55,medium,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Spaghetti_Pie,CC BY-SA 4.0,needs_quantity_standardization
34,Spicy Roast Brisket,4,15,30,easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Spicy_Roast_Brisket,CC BY-SA 4.0,needs_quantity_standardization
35,Chicken Alfredo,4,15,30,medium,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Chicken_Alfredo,CC BY-SA 4.0,needs_quantity_standardization
36,Chipotle Chili,4,15,30,easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Chipotle_Chili,CC BY-SA 4.0,needs_quantity_standardization
37,Alicha Wot (Mild Ethiopian Stew),4,15,45,medium,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Alicha_Wot_(Mild_Ethiopian_Stew),CC BY-SA 4.0,needs_quantity_standardization
38,Jambalaya II,6,15,30,medium,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Jambalaya_II,CC BY-SA 4.0,needs_quantity_standardization
39,Cioppino (Italian Seafood Stew),6,15,45,easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Cioppino_(Italian_Seafood_Stew),CC BY-SA 4.0,needs_quantity_standardization
40,Baked Penne,4,15,45,easy,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Baked_Penne,CC BY-SA 4.0,needs_quantity_standardization
41,Nasi Goreng (Indonesian Fried Rice),2,5,15,easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Nasi_Goreng_(Indonesian_Fried_Rice),CC BY-SA 4.0,needs_quantity_standardization
42,Kari Ayam (Indonesian Chicken Curry),4,15,30,medium,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Kari_Ayam_(Indonesian_Chicken_Curry),CC BY-SA 4.0,needs_quantity_standardization
43,Chicken Cacciatore,4,15,30,medium,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Chicken_Cacciatore,CC BY-SA 4.0,needs_quantity_standardization
44,Fasolia (Ethiopian Green Bean Stew),4,15,30,easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Fasolia_(Ethiopian_Green_Bean_Stew),CC BY-SA 4.0,needs_quantity_standardization
45,Cape Malay Butter Chicken,4,15,30,easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Cape_Malay_Butter_Chicken,CC BY-SA 4.0,needs_quantity_standardization
46,Paprika Chicken,6,15,65,medium,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Paprika_Chicken,CC BY-SA 4.0,needs_quantity_standardization
47,Chicken Fried Rice,5,7,23,easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Chicken_Fried_Rice,CC BY-SA 4.0,needs_quantity_standardization
48,Peri-Peri Chicken,4,15,30,easy,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Peri-Peri_Chicken,CC BY-SA 4.0,needs_quantity_standardization
49,Kedjenou Chicken (Chicken and Vegetable Stew),4,15,30,easy,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Kedjenou_Chicken_(Chicken_and_Vegetable_Stew),CC BY-SA 4.0,needs_quantity_standardization
50,Lentil and Sausage Stew,2,15,45,medium,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Lentil_and_Sausage_Stew,CC BY-SA 4.0,needs_quantity_standardization
51,Buttermilk Fried Chicken with Pan Gravy,4,15,30,medium,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Buttermilk_Fried_Chicken_with_Pan_Gravy,CC BY-SA 4.0,needs_quantity_standardization
52,Galician Garbanzo Soup,6,15,45,medium,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Galician_Garbanzo_Soup,CC BY-SA 4.0,needs_quantity_standardization
53,Black Bean Chili,12,15,225,medium,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Black_Bean_Chili,CC BY-SA 4.0,needs_quantity_standardization
54,Egyptian Lentil Soup,4,15,30,easy,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Egyptian_Lentil_Soup,CC BY-SA 4.0,needs_quantity_standardization
55,Garbanzo Bean Stew,4,15,75,easy,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Garbanzo_Bean_Stew,CC BY-SA 4.0,needs_quantity_standardization
56,Tuna Noodle Casserole,5,11,34,very_easy,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Tuna_Noodle_Casserole,CC BY-SA 4.0,needs_quantity_standardization
57,Corn Chowder I,6,15,45,very_easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Corn_Chowder_I,CC BY-SA 4.0,needs_quantity_standardization
58,Fisherman's Casserole,8,15,45,easy,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Fisherman%27s_Casserole,CC BY-SA 4.0,needs_quantity_standardization
59,General Tso's Chicken,4,15,15,easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:General_Tso%27s_Chicken,CC BY-SA 4.0,needs_quantity_standardization
60,Saffron Rice and Beans,2,15,30,medium,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Saffron_Rice_and_Beans,CC BY-SA 4.0,needs_quantity_standardization
61,Pasta and Bean Soup,4,15,30,medium,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Pasta_and_Bean_Soup,CC BY-SA 4.0,needs_quantity_standardization
62,Puerto Rican Chicken Soup (Asopao),2,8,27,medium,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Puerto_Rican_Chicken_Soup_(Asopao),CC BY-SA 4.0,needs_quantity_standardization
63,Hamburger Deluxe,4,15,45,easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Hamburger_Deluxe,CC BY-SA 4.0,needs_quantity_standardization
64,Liberian Eggplant Stew,4,15,30,easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Liberian_Eggplant_Stew,CC BY-SA 4.0,needs_quantity_standardization
65,Tofu Saltado,4,15,30,medium,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Tofu_Saltado,CC BY-SA 4.0,needs_quantity_standardization
66,Cinnamon Chicken,4,15,30,medium,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Cinnamon_Chicken,CC BY-SA 4.0,needs_quantity_standardization
67,Hearty Beef Vegetable Soup,4,15,30,easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Hearty_Beef_Vegetable_Soup,CC BY-SA 4.0,needs_quantity_standardization
68,Ratatouille I,3,15,30,medium,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Ratatouille_I,CC BY-SA 4.0,needs_quantity_standardization
69,Egyptian Stuffed Eggplant (Mahshi Betinjan),4,15,30,medium,dinner,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Egyptian_Stuffed_Eggplant_(Mahshi_Betinjan),CC BY-SA 4.0,needs_quantity_standardization
70,Mesir Wat (Spicy Ethiopian Lentil Stew),4,15,30,medium,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Mesir_Wat_(Spicy_Ethiopian_Lentil_Stew),CC BY-SA 4.0,needs_quantity_standardization
71,Taco Salad,4,15,30,easy,dinner,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Taco_Salad,CC BY-SA 4.0,needs_quantity_standardization
72,Almond Pancakes,2,10,5,easy,breakfast,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Almond_Pancakes,CC BY-SA 4.0,needs_quantity_standardization
73,Baked Oatmeal,2,10,15,easy,breakfast,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Baked_Oatmeal,CC BY-SA 4.0,needs_quantity_standardization
74,Blueberry Pancakes,2,10,15,easy,breakfast,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Blueberry_Pancakes,CC BY-SA 4.0,needs_quantity_standardization
75,Oatmeal Banana Waffle,2,10,15,easy,breakfast,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Oatmeal_Banana_Waffle,CC BY-SA 4.0,needs_quantity_standardization
76,Apple Crisp I,6,15,30,easy,dessert,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Apple_Crisp_I,CC BY-SA 4.0,needs_quantity_standardization
77,Easy Peach Cobbler,6,30,30,easy,dessert,oven,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Easy_Peach_Cobbler,CC BY-SA 4.0,needs_quantity_standardization
78,Strawberry Frozen Yogurt,4,11,34,easy,dessert,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Strawberry_Frozen_Yogurt,CC BY-SA 4.0,needs_quantity_standardization
79,Panna Cotta (Basic),6,15,30,easy,dessert,stovetop,Candidate selected for seed2 ingredient mapping; ingredient quantities still require standardization.,Wikibooks Cookbook,https://en.wikibooks.org/wiki/Cookbook:Panna_Cotta_(Basic),CC BY-SA 4.0,needs_quantity_standardization
