recipe_id,preparation_instructions
11,"Measure and prepare all ingredients before cooking.
Mix all chicken/marinade ingredients in a bowl, stir well, and allow to marinate for ½ hour.
Mix sauce ingredients in another bowl and set aside until needed. Stir out any lumps.
Heat wok or large frying pan until water drops bead up and dance on the hot surface.
Add cooking oil to wok. Wait a few seconds for oil to heat up.
Add remaining spice ingredients to wok and stir fry for 30 seconds.
Add chicken mixture to wok and stir fry for about 4 minutes (until chicken is cooked through).
Add vegetables to wok and stir fry for about 2–3 minutes.
Stir sauce and add to wok. After the sauce comes to a boil, cook for about 1 minute (until sauce thickens).
Stir to coat other ingredients with thickened sauce.
Pour onto large platter and serve immediately."
12,"Preheat the oven to 400°F.
Cut the pumpkin or squash in half lengthwise and remove the seeds and fibers. Cover with aluminum foil and place the halves, cut side up, in a foil-lined shallow baking pan.
Bake for 40–50 minutes, or until easily pierced with a knife but still firm (if using squash, prepare the same way). When cool enough to handle, scoop out the pulp, and cut into large dice. Set aside until needed.
Heat the oil in a soup pot. Add the onion and sauté over medium-low heat until translucent. Add the garlic and continue to sauté until the onion is golden.
Add the pumpkin and all the remaining ingredients except the last 2 and bring to a simmer. Simmer gently, covered, until all the vegetables are tender, about 20–25 minutes. Season to taste with salt and pepper.
If time allows, let the stew stand for 1–2 hours before serving, then heat through as needed. Just before serving, stir in the cilantro. The stew should be thick and very moist but not soupy; add additional stock or water if needed. Serve in shallow bowls."
13,"Fill your largest pot with 1½ gallons of water along with 3 tablespoons of salt. Place it over high heat on the stove.
Combine ground meat, bread crumbs, grated cheese, minced parsley and lightly beaten eggs (add eggs one at a time while stirring ingredients together). Sprinkle with minced garlic, 2 tablespoons of olive oil and seasonings. Then mix well until everything is combined.
Form meat mixture into meatballs, using an ice cream scoop or your hands, pressing lightly, just enough so that meat holds together, but not so much that the meat is very compressed or the meatballs will be tough and dry.
In a heavy skillet, heat olive oil over medium low heat. Add whole garlic cloves. Turn the garlic cloves to color them on all sides, then when lightly browned, press them into the oil; as they brown, remove them.
As soon as the oil is hot, add the meatballs to the skillet, leaving about 1½ inches between them so that they can be easily turned. Turn them often using a spatula or large spoon so that they don't stick. Make sure there is enough oil in the pan (about ½ inch). You don't need extra virgin olive oil for this—any good quality Italian olive oil will do.
When the meatballs are browned well on all sides, remove from the pan and drain on paper towels. Then add the next batch to the pan and continue until all are cooked.
Add the pasta to the water now boiling in your pot and cook until al dente. This should take about 12 minutes.
Add pepper flakes, garlic and finely chopped onion in the same oil you used to cook the meatballs. Sauté 5–7 minutes, until onion bits are soft. Add beef stock, crushed tomatoes, and herbs. Bring to a simmer and cook for about 10 minutes.
Toss hot, drained pasta with a few ladles of the sauce. Turn meatballs in remaining sauce.
Place pasta on dinner plates. Top with meatballs, sauce and extra grated cheese."
14,"Preheat the oven to 180°C (160°C convection / 350°F / gas mark 4).
Heat 3 tbsp oil in a large pan. Add the onion, carrot and celery. Cook gently until soft but not coloured.
Add the minced beef and cook until browned, breaking up the mince as much as possible.
Add the parsley. Pour in the white wine and cook for 5 minutes to burn off the alcohol.
Season to taste and add the chopped tomatoes. Cook over a low heat for 30 minutes, stirring occasionally.
Bring a large pan of water to the boil and salt it. Add the pasta and cook following pack instructions or until the pasta is firm to the bite (al dente). Drain the pasta.
Grease an oven dish and thinly cover the bottom with some of the tomato sauce. Fill with half the quantity of the pasta, the diced mozzarella, half of the tomato sauce, half of the cream and cover with half of the grated Parmesan cheese.
Fill the oven dish with another layer of tagliatelle, the remaining mozzarella, the tomato sauce, the cream and cover with Parmesan cheese and some freshly grated nutmeg.
Bake in the oven for about 30 minutes or until the top of the dish is golden. Remove from the oven and leave to cool for a few minutes.
Add a few basil leaves and serve."
15,"Bring the rice, water, and salt to a boil. Cover, turn down the heat, and simmer for 20 minutes. Turn off the heat, fluff with a fork, and let stand for a few minutes.
Heat a deep 12-inch pan or wok over high heat. Add the oil, and let it heat up.
Sauté everything in the oil, adding the ingredients in the following order, so as to cook heavier items longer: Chicken Onion/garlic Bell peppers Mushrooms Pineapple Tofu
Chicken
Onion/garlic
Bell peppers
Mushrooms
Pineapple
Tofu
Combine the water and cornstarch. Add the teriyaki sauce and the cornstarch mixture to the pan. If using cornstarch, heat to boiling to thicken. Thin with extra water or juice as necessary.
Serve over the cooked rice."
16,"Cut the chicken into 5–7 cm pieces and slice them at edges with a knife.
Combine garlic, 1 tsp salt, 1 tsp red chili powder, 1 tsp garam masala, red pepper powder, yoghurt, coriander leaves, and ground black pepper in a large bowl.
Add the chicken pieces, and marinate for 8 hours in refrigerator.
In a large pot, fry onion rings, green chilies, and tomato in olive or sunflower oil over low heat until onions are light yellow.
Stir in remaining 1 tsp garam masala, 1 tsp red chili powder, and ground cashews.
Add chicken pieces, and fry them for about 5 minutes while gently stirring.
Add the marinade and water until all chicken pieces are submerged. Add coconut milk if desired.
Allow the dish to cook over low to medium heat for 30–45 minutes.
Remove from heat and wait for a few minutes until the chicken pieces are tender and have absorbed the sauce.
Serve with rice (Basmati variety works well)."
17,"Crack open the cardamom pods. Reserve the seeds; discard the shells.
Heat oil to quite hot but not smoking in a pan. Add spices and bay leaf. Cook until seeds crack (1–2 minutes).
Reduce heat to medium. Add onion and garlic, then cook until tender and translucent.
Reserve onion, garlic, spices to a side dish.
Season tofu with salt and pepper. Fry, adding oil if needed. When tofu is heated through, sauté until lightly brown (5–8 minutes).
Add reserved onion/spice mixture.
Add currants and sauté for 3–5 minutes. At this point, the tofu may be cooled and chilled for re-heating the following day.
Add sour cream, yogurt, coconut milk, and butter. Simmer until sauce has cooked down a little.
Add toasted almonds and toasted coconut.
Serve hot with Saffron Sweet Rice."
18,"Bring stock and coconut milk to a boil.
Add lemongrass, galangal, chilies, sugar, and pepper.
Add onion, tomato, chicken bits, and mushrooms.
Keep at a rolling boil for 4 minutes.
Remove the pot from the heat.
Stir in lime juice and soy sauce.
Garnish with cilantro and chilies."
19,"Combine the barbecue sauce, soy sauce, hoisin sauce, sugar, and salt to make the marinade.
Place the pork into the sauce mixture. Cover with plastic wrap, and refrigerate for 25 minutes. Make sure the sauce in the bowl is really absorbed.
Transfer the pork to a baking pan, and bake for 20 minutes at 200°C. When finished, put the pork onto a plate.
Heat the olive oil and sesame oil in a medium wok. Fry the garlic, red chillies, ginger and scallion, then stir briefly for 1 minute. Add the mixed egg and rice.
Add the grilled pork, salted soy sauce, chicken powder, oyster sauce, salt and jalapeño. Stir until mixed.
Serve hot with garnishes."
20,"Heat the olive oil in a Dutch oven over medium high heat until shimmering. Add in ground beef and cook, breaking it up with a wooden spoon, until all liquid had evaporated and meat begins to sizzle (10–15 minutes).
Stir in wine, scraping the pot to loosen the fond. Simmer until wine has evaporated.
Add the crushed tomatoes, bring to a simmer, cover, and simmer for 20 minutes. Meanwhile, prepare the béchamel sauce.
Preheat the oven to 375°F/190°C.
Mix the basil, oregano, salt, and pepper into the ragu.
Place a thin layer of ragu in the base of the ovenproof dish and cover with a single layer of pasta sheets. Spread a layer of béchamel sauce over the pasta. Repeat this until you run out of meat, making sure that you have enough béchamel sauce left to cover the top layer of pasta.
Sprinkle grated parmesan over the pasta.
Place the dish in the oven on the top shelf and cook for about 45 minutes, or until the top is lightly browned and the sauce is bubbling.
Serve."
21,"If using dry chickpeas, wash, then soak for 12 hours, then cook 40–50 minutes until soft or for 8–10 minutes in a pressure cooker. If using a pressure cooker, do not depressurize but let the cool down; depressurizing causes the chickpeas to break open.
Cook onions in the broth until softened.
Add zucchini, tomatoes, bell pepper, chili pepper, and garlic and cook for 10–15 minutes, until peppers and zucchini are soft.
Start boiling the rice.
Add chickpeas, peanut butter, spices, and soy sauce. Keep simmering for 5–10 more minutes.
Sprinkle with cilantro garnish if desired, then serve immediately."
22,"If using dry black-eyed peas, wash them, then cook for 20 minutes or until al dente. When done, drain.
Meanwhile, sauté onions, carrots, and celery in oil for 5 minutes.
Add garlic, ginger, salt, and pepper, and sauté for 2 more minutes.
Stir rice into vegetable mix.
Add stock and tomatoes, then bring to a boil.
Add the cooked black-eyed peas.
Add meat, cook a further 5 minutes, turn heat to low, and let simmer for 30–40 minutes. The stew is ready when the rice is soft.
Add chili peppers and curry-lemon paste, then cook for 10 more minutes. Serve hot."
23,"Dust beef cubes lightly with flour, then brown in vegetable oil.
Move to separate pot and clean pan with beef broth and add to pot.
Sauté celery, garlic and onion briefly and add to pot. Simmer for 1.5 hours.
Add barley and simmer additional ½ hour.
Add potatoes, sliced mushrooms, frozen green beans, diced tomatoes and tomato paste.
Add slug of Worcestershire sauce. Simmer for 1 additional hour.
Chop parsley and stir into stew before serving.
Combine the flour, salt, pepper, and paprika on a plate, and dredge the cubed beef in the flour mixture.
Add the oil to a Dutch oven or large saucepan on medium high heat. Brown the beef in the oil.
When the beef is evenly browned on all sides, add the water, beef broth, bay leaf, onion, carrots and barley. Allow to come to a simmer and reduce heat.
Allow to simmer for 1 to 1½ hours, until the meat is tender. Remove the bay leaf and serve with noodles or rice."
24,"Heat the vegetable oil in a large pot or Dutch oven over medium-high heat. Add the beef or chicken cubes and cook until browned on all sides. Remove the meat from the pot and set it aside.
In the same pot, add the chopped onions and minced garlic. Sauté until the onions become translucent and the garlic is fragrant.
Reduce the heat to low and add the peanut butter to the pot. Stir constantly until the peanut butter melts and combines with the onions and garlic.
Add the ground cumin, paprika, chili powder, salt, and pepper to the pot. Stir well to incorporate the spices into the peanut sauce. Then add the diced tomatoes, including their juices, and mix everything together
Gradually pour the beef or chicken broth into the pot, stirring continuously to create a smooth sauce. Return the seared meat to the pot and stir to coat it with the sauce.
Cover the pot with a lid and let the stew simmer over low heat for about 30 minutes, allowing the flavors to meld together and the meat to become tender.
After 30 minutes, add the diced carrots, potatoes, bell pepper, okra, and chopped leafy greens to the pot. Stir well, ensuring that all the vegetables are submerged in the sauce.
Cover the pot again and let the stew simmer for an additional 15–20 minutes, or until the vegetables are cooked to your desired tenderness.
Remove the pot from heat and let it sit for a few minutes. This allows the stew to thicken slightly. Serve hot, garnished with fresh cilantro or parsley."
25,"In a large pot or Dutch oven, heat the vegetable oil over medium heat. Add the diced onions and sauté until they become translucent.
Stir in the minced garlic and grated ginger, and sauté for another minute until the mixture becomes aromatic.
Add the diced eggplants, tomatoes, bell peppers, carrots, zucchini, and potatoes to the pot. Mix well to combine all the vegetables.
Sprinkle the curry powder, ground cumin, ground coriander, ground turmeric, and chili powder (if using) over the vegetables. Season with salt and pepper to taste.
Pour the vegetable broth or water into the pot, covering the vegetables. Bring the mixture to a boil, then reduce the heat to a simmer.
Cover the pot and let the stew cook for about 20–25 minutes or until the vegetables are tender and the flavors have melded together.
Once the stew is ready, adjust the seasoning if needed.
Serve hot, garnished with fresh chopped cilantro or parsley for an extra burst of flavor."
26,"In a large pot, heat olive oil over medium heat. Add the chopped onion and minced garlic. Sauté until the onion becomes translucent.
Add the diced carrot, zucchini, bell pepper, and green beans to the pot. Stir and cook the vegetables for a few minutes until they start to soften.
Add the diced tomatoes, chickpeas, cumin, coriander, turmeric, paprika, salt, and pepper to the pot. Stir well to coat the vegetables with the spices.
Pour the vegetable broth into the pot. Bring the mixture to a boil, then reduce the heat to low. Cover the pot and let the vegetables simmer for about 15–20 minutes, or until they are tender.
Meanwhile, prepare the couscous according to the package instructions. Typically, couscous is steamed or soaked in hot water until it becomes fluffy and tender. Fluff the cooked couscous with a fork.
Once the vegetables are cooked, remove the pot from the heat. Gently stir in the cooked couscous, ensuring that it is well-incorporated with the vegetables.
Taste and adjust the seasoning if needed. You can add more salt, pepper, or spices according to your preference.
Serve hot, garnished with freshly chopped parsley or cilantro."
27,"Soak the noodles in warm water for about 20 minutes and strain. Alternatively, pour boiling water over the noodles and let them sit for 7 minutes.)
Mix the fish sauce with the vinegar, sugar and tamarind juice together in a small bowl.
Heat the vegetable oil in a wok on high, and brown the chopped garlic and chili peppers for a minute.
Cook the meats/tofu in oil, until they are browned (6–8 minutes).
Add assorted veggies and cook until tender.
Add noodles. Crack the eggs over the noodles, allow them to cook, and then mix them up.
Add the fish sauce mix into the wok, mix it all up and turn the heat down to medium.
Add the chopped green onions and bean sprouts, then stir fry for 2 more minutes.
Serve on a large plate or bowl. Garnish with chopped peanuts and, optionally, chopped cilantro or coriander and a wedge of lime."
28,"Preheat oven to 350°F.
In non-stick skillet, add onion, celery, green pepper.
Add instant beef bouillon, tomato juice, and cook until vegetables are tender.
Add tofu, carrot, garlic salt, chili powder.
Simmer a few more minutes.
Add corn meal and mix thoroughly.
Pour into a one quart casserole and top with grated cheese.
Bake at 350°F for 20 minutes or until browned."
29,"Heat sesame oil in a large sauté pan over medium-high heat.
Add the garlic, crushed red pepper, and onion and sauté for a minute.
Add the red and green bell peppers and sauté just barely until soft, around 3 minutes.
Add the sesame seeds, teriyaki sauce, and grilled chicken strips .
Lower heat to medium and cook, stirring often, until flavors are mixed, about 5 minutes.
Stir in the chopped cilantro, and season to taste with salt and pepper.
Divide the chicken mixture into fourths, putting the portion only on one-half of each tortilla.
Top with the shredded cheese, dividing equally among the tortillas.
Fold tortillas over, forming a semicircle, to cover the mixture.
Heat a large sauté pan or skillet over medium-high heat.
Add just enough butter to make a very thin layer on the bottom of the pan.
Cook the quesadillas in the butter until cheese is melted and tortillas are browned on both sides, about 3 minutes per side.
Cut each tortilla into four or so triangles and serve immediately."
30,"Heat the olive oil in a large skillet or frying pan over medium-high heat.
Add the chopped onion to the pan and sauté until it becomes translucent and starts to brown.
Add the minced garlic to the pan and sauté for an additional minute until fragrant.
Add the meat to the pan and cook until browned on all sides. Stir occasionally to ensure even cooking.
Sprinkle the berbere spice blend, paprika, ground cumin, salt, black pepper, and cayenne pepper (if using) over the meat. Stir well to coat the meat with the spices.
Reduce the heat to medium and continue cooking for another 5–7 minutes, or until the meat is cooked through and tender.
Drizzle the lemon juice over the meat and stir to incorporate the flavors.
Add the butter to the pan and stir until melted, coating the meat with its rich flavor.
Remove the pan from the heat and garnish the tibs with fresh chopped parsley or cilantro.
Serve hot with injera or as a side dish alongside other Ethiopian delicacies. Accompany with lemon wedges for extra zest."
31,"Bring chicken broth to a simmer in a 2-quart saucepan.
Add soy sauce, shredded meat, mushrooms and garlic chili sauce. Simmer for 5 minutes.
Add black pepper, white vinegar, bamboo shoots, tofu. Simmer for 5 minutes.
Combine 3 tablespoons of cornstarch with 2 tablespoons of cold water in a cup. Stir until mixture is smooth. Add cornstarch mixture to soup and stir well.
Simmer for 5 minutes until soup is thickened.
Beat egg in a cup until yolk and white are combined. Pour beaten egg slowly, in a fine stream into soup. Stir soup several times, then wait 30 seconds.
Add green onions and sesame oil to soup. Stir well and remove from heat.
Serve hot."
32,"Heat the olive oil in a large saucepan or pot over medium heat. Add the finely chopped onion and sauté until it becomes translucent.
Stir in the minced garlic and grated ginger, and cook for another minute until fragrant.
Add the berbere spice blend, paprika, turmeric, cumin, cayenne pepper, and salt. Mix well to coat the onions, garlic, and ginger with the spices.
Add the sliced carrots, diced potatoes, diced bell pepper, green beans, cauliflower florets, and broccoli florets to the saucepan. Stir to combine the vegetables with the spice mixture.
Pour in the vegetable broth or water, and bring the mixture to a simmer. Reduce the heat to low, cover the saucepan, and let the stew cook for about 20–25 minutes, or until the vegetables are tender.
Check the seasoning and adjust with salt or additional spices if desired.
Remove from heat and let rest for a few minutes to allow the flavors to meld together.
Garnish the stew with freshly chopped cilantro or parsley. Serve hot as a main course, accompanied by injera or rice."
33,"Preheat the oven to 175°C (347°F). Grease a ovenproof dish.
Break the spaghetti into 5 cm (2-inch) pieces.
Boil the spaghetti in water until al dente.
Drain the pasta in a colander and put in a bowl.
Add 1 egg, half of the breadcrumbs, and the parmesan cheese to the pasta, and mix until combined.
Pour the pasta mixture into the dish and sprinkle with remaining breadcrumbs.
Bake for 20 minutes until the top is lightly browned.
Meanwhile, heat the oil in a pan over medium heat.
Add the onion and cook for 3 minutes, stirring occasionally.
Add the beef and cook, breaking up into pieces, for 7 minutes until browned.
Remove the fat from the pan.
Add the tomatoes and tomato paste to the beef mixture and stir in.
Add the basil and let it simmer over a low heat while you make the topping.
Beat together the ricotta, egg and oregano in a bowl until combined.
Take the pasta out of the oven and pour the ricotta mixture onto the pasta.
Pour the bolognese sauce on top and sprinkle with mozzarella cheese.
Bake for 25 minutes until the top is browned.
Slice into 8 pieces and serve."
34,"Heat oil in large heavy pot, add brisket, and brown on all sides.
Push meat to the side. Add onions and celery, and cook over medium heat until softened.
Add garlic, cumin, peppercorns, mustard, oregano, salt, and stir in.
Add tomatoes, beef stock, vinegar, sugar, and bay leaves. Add the tomato juice if desired.
Add 1 cup of boiling water, cover pot, and cook for 2 hours on low heat.
Inspect regularly to make sure there is enough liquid, adding water if necessary.
30 minutes before serving, add bell and chili peppers."
35,"Heat up oil slightly in a frying pan over a medium flame.
Sauté chicken breasts and shallots in hot oil for 5 minutes or until golden brown. Add lemon juice to chicken and cook for an additional 10 minutes. Remove chicken from flame. Reserve juices. Transfer chicken into a casserole dish.
Melt butter in clean frying pan. Add flour to butter and stir for about 3 minutes.
Slowly add half and half, stirring continuously. Add all spices and seasonings to sauce.
Stir in reserved juices and keep stirring. Reduce heat and slowly stir in Parmesan cheese.
Keep stirring until a smooth consistency is achieved. Pour sauce over chicken in casserole dish.
Cover and bake for 20 minutes at 350°F (175°C).
While chicken is cooking, prepare pasta. When chicken is done, serve immediately."
36,"Using a food processor, grind the leftover hamburger patties into a coarse powder.
In a bowl, mix the ground hamburgers with the cumin, chili powder, and salt. Set aside. Don't bother cleaning the food processor after grinding the meat.
Add the sweet chiles to the food processor one-by-one, and grind until they're reduced to small bits.
Add the chipotles along with the adobo sauce, grinding until the chipotles are thoroughly integrated into the sauce. You can leave this in the food processor or move it to a bowl.
Heat a stockpot over medium heat and add the oil.
Swirl the oil in the pan to coat, and turn the heat down to medium-low.
Sauté the onions and garlic until soft and golden.
By now the onions should be pretty well cooked down. Turn the heat up to medium and stir continuously.
The onions may start to brown and stick to the bottom of the stockpot. Add half the beer to deglaze the pan.
Add the ground meat and spices, tomato products, beans, chile paste, and remainder of the beer, stirring after each addition to combine.
When the pot comes to a boil, turn the heat down to low and cover.
Simmer for at least half an hour.
Serve in bowls, either plain or with accompaniments suggested above."
37,"Heat the olive oil in a large pot or Dutch oven over medium heat.
Add the chopped onions to the pot and sauté until they become translucent and slightly browned.
Add the minced garlic and grated ginger to the pot and sauté for an additional minute until fragrant.
Stir in the berbere spice blend, tomato paste, ground turmeric, ground cumin, ground coriander, salt, and black pepper. Mix well to combine the spices with the onions, garlic, and ginger.
Add the beef to the pot and stir to coat it with the spice mixture. Cook the beef for a few minutes until it is browned on all sides.
Pour in the beef broth or water, ensuring that the beef is fully submerged in the liquid. Bring the mixture to a boil.
Reduce the heat to low, cover the pot, and simmer for about 1 hour, or until the beef is tender and the flavors have melded together. Stir occasionally and add more liquid if needed to maintain the desired consistency.
Taste the stew and adjust the seasoning with salt and pepper if needed.
Remove the pot from the heat and let rest for a few minutes before serving.
Garnish with fresh chopped cilantro or parsley. Serve hot with injera or bread, and enjoy the mild yet flavorful experience of this Ethiopian stew."
38,"Heat olive oil in a large skillet; add chicken and paprika, then brown on all sides.
Remove chicken from skillet.
Add onion, green bell pepper, celery, and garlic. Sauté over low heat until onion is tender, about 10 minutes.
Stir in ham, tomatoes, chicken broth, rice, thyme, salt, and pepper.
Add chicken and turn to coat with sauce. Bring to a boil.
Reduce heat, cover, and simmer for 15 minutes."
39,"Heat the oil in a very large pot over medium heat.
Add the fennel, onion, shallots, and salt and sauté until the onion is translucent.
Add the garlic and red pepper flakes, and sauté for 2 minutes.
Stir in the tomato paste.
Add tomatoes with their juices, wine, water, crabs, celery and bay leaf. Cover and bring to a simmer.
Reduce the heat to medium-low. Simmer, covered, for about 30 minutes to allow the flavors to blend.
Add the mussels to the cooking liquid. Cover and cook until the mussels begin to open.This should take about 5 minutes.
Add the scallops and fish. Simmer gently until the fish and scallops are just cooked through and all the mussels are completely open, gently stirring occasionally. This should take about another 10 minutes.
Check the soup for closed mussels and throw them out. Remove the bay leaf.
Season the soup to taste with more salt and red pepper flakes."
40,"Preheat the oven to 375 °F (191 °C).
In a gallon of salted, boiling water, cook pasta until al dente. Drain and rinse with cold water. Set aside.
Combine ricotta, egg yolks, butter, salt, pepper, garlic, parsley, and tomato paste. Fold in cooked pasta. Set aside.
In a spotlessly clean metal bowl, beat egg whites to stiff peaks with cream of tartar. Gently fold into pasta mixture.
Pour into a parchment-lined high-sided roasting pan. Sprinkle with mozzarella cheese and cover with aluminum foil. Bake in the center of the oven for 15 minutes.
Remove foil and lower temperature to 350 °F (177 °C). Bake for another 30 minutes or until browned and bubbly on top.
Place serving portions onto plates and garnish with basil. Serve warm."
41,"Slice shallots and red pepper into thin slices.
Crush garlic, peel of the skin, and mince well.
Slice stinky beans in half, or as desired.
Heat oil in wok, add the chicken or prawn, and stir fry until done.
Add shallot, pepper, garlic and stink beans. Stir until garlic turns golden.
Crack in the eggs, and stir fry until half done.
Add the steamed rice, and stir until all mixed.
Add soy sauces, salt, and ground pepper as desired.
Serve on plates, adding fresh cucumber slices or tomatoes as garnish."
